affected_macaddress,alerted_macaddress,severity_level,location
10:8e:e0:b6:ca:da,88:83:22:5d:24:66,mild,ground_floor
10:8e:e0:b6:ca:da,90:61:ae:25:a1:e3,mild,ground_floor
10:8e:e0:b6:ca:da,08:d8:33:ef:e7:7b,moderate,ground_floor
10:8e:e0:b6:ca:da,8c:f5:a3:cd:d2:db,moderate,ground_floor
10:8e:e0:b6:ca:da,e4:0e:ee:e6:4e:96,moderate,ground_floor
10:8e:e0:b6:ca:da,94:ee:9f:b1:e0:64,moderate,ground_floor
10:8e:e0:b6:ca:da,78:00:9e:93:6a:d0,moderate,ground_floor
10:8e:e0:b6:ca:da,98:10:e8:3b:48:e3,moderate,ground_floor
1c:5c:f2:e8:8b:33,e4:0e:ee:e6:4e:96,mild,ground_floor
1c:5c:f2:e8:8b:33,40:83:de:d0:81:8e,moderate,ground_floor
1c:5c:f2:e8:8b:33,40:83:de:80:80:cc,moderate,ground_floor
1c:5c:f2:e8:8b:33,98:10:e8:3b:48:e3,moderate,ground_floor
1c:5c:f2:e8:8b:33,78:00:9e:93:6a:d0,severe,ground_floor
98:10:e8:3b:48:e3,40:83:de:80:80:cc,mild,ground_floor
98:10:e8:3b:48:e3,08:d8:33:ef:e7:7b,moderate,ground_floor
98:10:e8:3b:48:e3,10:8e:e0:b6:ca:da,moderate,ground_floor
98:10:e8:3b:48:e3,8c:f5:a3:cd:d2:db,moderate,ground_floor
98:10:e8:3b:48:e3,1c:5c:f2:e8:8b:33,moderate,ground_floor
98:10:e8:3b:48:e3,e4:0e:ee:e6:4e:96,moderate,ground_floor
98:10:e8:3b:48:e3,94:ee:9f:b1:e0:64,moderate,ground_floor
98:10:e8:3b:48:e3,78:00:9e:93:6a:d0,moderate,ground_floor
98:10:e8:3b:48:e3,90:61:ae:25:a1:e3,severe,ground_floor
98:10:e8:3b:48:e3,3c:bf:60:65:36:3c,severe,ground_floor
98:10:e8:3b:48:e3,88:83:22:5d:24:66,severe,ground_floor
98:10:e8:3b:48:e3,7c:b2:7d:87:d8:c7,severe,ground_floor
78:00:9e:93:6a:d0,0c:2f:b0:83:ee:82,mild,ground_floor
78:00:9e:93:6a:d0,10:8e:e0:b6:ca:da,moderate,ground_floor
78:00:9e:93:6a:d0,40:83:de:d0:81:8e,moderate,ground_floor
78:00:9e:93:6a:d0,40:83:de:80:80:cc,moderate,ground_floor
78:00:9e:93:6a:d0,98:10:e8:3b:48:e3,moderate,ground_floor
78:00:9e:93:6a:d0,90:61:ae:25:a1:e3,severe,ground_floor
78:00:9e:93:6a:d0,8c:f5:a3:cd:d2:db,severe,ground_floor
78:00:9e:93:6a:d0,88:83:22:5d:24:66,severe,ground_floor
78:00:9e:93:6a:d0,7c:b2:7d:87:d8:c7,severe,ground_floor
78:00:9e:93:6a:d0,1c:5c:f2:e8:8b:33,severe,ground_floor
78:00:9e:93:6a:d0,e4:0e:ee:e6:4e:96,severe,ground_floor
78:00:9e:93:6a:d0,94:ee:9f:b1:e0:64,severe,ground_floor
78:00:9e:93:6a:d0,08:d8:33:ef:e7:7b,severe,ground_floor
00:0b:82:d0:ff:35,8c:f5:a3:cd:d2:db,moderate,ground_floor
40:83:de:d0:81:8e,e4:0e:ee:e6:4e:96,mild,ground_floor
40:83:de:d0:81:8e,40:83:de:80:80:cc,moderate,ground_floor
40:83:de:d0:81:8e,1c:5c:f2:e8:8b:33,moderate,ground_floor
40:83:de:d0:81:8e,78:00:9e:93:6a:d0,moderate,ground_floor
e4:0e:ee:e6:4e:96,1c:5c:f2:e8:8b:33,mild,ground_floor
e4:0e:ee:e6:4e:96,40:83:de:d0:81:8e,mild,ground_floor
e4:0e:ee:e6:4e:96,88:83:22:5d:24:66,mild,ground_floor
e4:0e:ee:e6:4e:96,40:83:de:80:80:cc,mild,ground_floor
e4:0e:ee:e6:4e:96,90:61:ae:25:a1:e3,mild,ground_floor
e4:0e:ee:e6:4e:96,10:8e:e0:b6:ca:da,moderate,ground_floor
e4:0e:ee:e6:4e:96,98:10:e8:3b:48:e3,moderate,ground_floor
e4:0e:ee:e6:4e:96,78:00:9e:93:6a:d0,severe,ground_floor
e4:0e:ee:e6:4e:96,8c:f5:a3:cd:d2:db,severe,ground_floor
e4:0e:ee:e6:4e:96,08:d8:33:ef:e7:7b,severe,ground_floor
e4:0e:ee:e6:4e:96,94:ee:9f:b1:e0:64,severe,ground_floor
08:d8:33:ef:e7:7b,10:8e:e0:b6:ca:da,moderate,ground_floor
08:d8:33:ef:e7:7b,98:10:e8:3b:48:e3,moderate,ground_floor
08:d8:33:ef:e7:7b,90:61:ae:25:a1:e3,severe,ground_floor
08:d8:33:ef:e7:7b,8c:f5:a3:cd:d2:db,severe,ground_floor
08:d8:33:ef:e7:7b,88:83:22:5d:24:66,severe,ground_floor
08:d8:33:ef:e7:7b,7c:b2:7d:87:d8:c7,severe,ground_floor
08:d8:33:ef:e7:7b,e4:0e:ee:e6:4e:96,severe,ground_floor
08:d8:33:ef:e7:7b,94:ee:9f:b1:e0:64,severe,ground_floor
08:d8:33:ef:e7:7b,78:00:9e:93:6a:d0,severe,ground_floor
