,affected_macaddress,alerted_macaddress,severity_level
0,e4:a7:a0:99:bc:27,c0:9a:d0:e7:e7:da,mild
1,e4:a7:a0:99:bc:27,98:10:e8:07:e0:5b,mild
2,e4:a7:a0:99:bc:27,7c:b2:7d:87:d8:c7,mild
3,e4:a7:a0:99:bc:27,c0:b6:58:a2:3c:78,mild
4,e4:a7:a0:99:bc:27,98:10:e8:3b:48:e3,mild
5,e4:a7:a0:99:bc:27,88:66:a5:17:7b:51,moderate
6,e4:a7:a0:99:bc:27,28:16:ad:17:e3:33,moderate
7,e4:a7:a0:99:bc:27,a4:c3:f0:a5:f1:09,moderate
8,e4:a7:a0:99:bc:27,b4:ef:39:c3:4a:2a,moderate
9,e4:a7:a0:99:bc:27,88:66:a5:3a:72:71,severe
10,e4:a7:a0:99:bc:27,28:16:ad:17:e3:32,severe
11,e4:a7:a0:99:bc:27,88:66:a5:17:75:bc,severe
12,e4:a7:a0:99:bc:27,04:69:f8:63:8b:cc,severe
13,e4:a7:a0:99:bc:27,7c:b2:7d:86:54:d4,severe
14,e4:a7:a0:99:bc:27,8c:f5:a3:cd:d2:db,severe
15,e4:a7:a0:99:bc:27,b4:9c:df:44:0b:33,severe
16,e4:a7:a0:99:bc:27,88:66:a5:1f:0b:05,severe
17,e4:a7:a0:99:bc:27,7c:b2:7d:85:d8:0b,severe
18,e4:a7:a0:99:bc:27,f8:2d:7c:dc:dc:b8,severe
19,e4:a7:a0:99:bc:27,88:66:a5:1a:ba:53,severe
20,d8:1c:79:db:a0:f7,88:66:a5:1a:ba:53,mild
21,d8:1c:79:db:a0:f7,90:6e:e1:0b:5c:cc,mild
22,d8:1c:79:db:a0:f7,98:c7:17:2d:6b:a0,mild
23,d8:1c:79:db:a0:f7,10:e8:89:d2:30:6d,mild
24,d8:1c:79:db:a0:f7,5c:74:20:7c:0e:a6,mild
25,d8:1c:79:db:a0:f7,a4:c3:f0:a5:f1:72,mild
26,d8:1c:79:db:a0:f7,35:93:57:30:4a:9b,mild
27,d8:1c:79:db:a0:f7,c1:a2:98:79:ba:c4,mild
28,d8:1c:79:db:a0:f7,00:0b:82:d0:ff:35,mild
29,d8:1c:79:db:a0:f7,cc:44:63:3c:32:61,mild
30,d8:1c:79:db:a0:f7,5c:5f:67:8b:e1:7f,mild
31,d8:1c:79:db:a0:f7,5c:5f:67:8b:e1:7e,mild
32,d8:1c:79:db:a0:f7,00:ca:3f:34:77:f5,mild
