date,count
2019-08-12,7535
2019-08-13,943948
2019-08-14,782048
2019-08-15,776541
2019-08-16,390873
2019-08-17,18443
2019-08-18,9793
2019-08-19,710298
2019-08-20,882297
2019-08-21,864736
2019-08-22,816966
2019-08-23,288795
2019-08-24,8816
2019-08-25,10530
2019-08-26,5997
2019-08-27,852380
2019-08-28,1002404
2019-08-29,950351
2019-08-30,401506
2019-08-31,16041
2019-09-01,7810
2019-09-02,865403
2019-09-03,963948
2019-09-04,1023269
2019-09-05,1001683
2019-09-06,520885
2019-09-07,13167
2019-09-08,6050
2019-09-09,996154
2019-09-10,982122
2019-09-11,1248355
2019-09-12,1055745
2019-09-13,579902
2019-09-14,23659
2019-09-15,22693
2019-09-16,944372
2019-09-17,1045540
2019-09-18,1089311
2019-09-19,897122
2019-09-20,392437
2019-09-21,22811
2019-09-22,16418
2019-09-23,493261
2019-09-24,344558
2019-09-25,783584
2019-09-26,765740
2019-09-27,559705
2019-09-28,6251
2019-09-29,17009
2019-09-30,1173985
2019-10-01,1248710
2019-10-02,1239392
2019-10-03,1231149
2019-10-04,502302
2019-10-05,20070
2019-10-06,16501
2019-10-07,828466
2019-10-08,1122016
2019-10-09,1034608
2019-10-10,1081022
2019-10-11,443557
2019-10-12,3941
2019-10-13,4277
2019-10-14,1252825
2019-10-15,1412680
2019-10-16,1423614
2019-10-17,1171720
2019-10-18,602242
2019-10-19,19651
2019-10-20,7190
2019-10-21,1202648
2019-10-22,1542089
2019-10-23,1551458
2019-10-24,1232756
2019-10-25,478641
2019-10-26,7016
2019-10-27,2907
2019-10-28,820620
2019-10-29,1093935
2019-10-30,917666
2019-10-31,944492
2019-11-01,455341
2019-11-02,11618
2019-11-03,10764
2019-11-04,982416
2019-11-05,1009819
2019-11-06,1165217
2019-11-07,1029866
2019-11-08,585962
2019-11-09,19715
2019-11-10,4552
2019-11-11,1116972
2019-11-12,1032963
2019-11-13,1821
2019-11-28,881646
2019-11-29,275379
2019-11-30,3281
2019-12-01,2726
2019-12-02,919280
2019-12-03,1263306
2019-12-04,645823
2019-12-05,780633
2019-12-06,450816
2019-12-07,10550
2019-12-08,2241
2019-12-09,882891
2019-12-10,953218
2019-12-11,935153
2019-12-12,957217
2019-12-13,542109
2019-12-14,8365
2019-12-15,6511
2019-12-16,758400
2019-12-17,963237
2019-12-18,901963
2019-12-19,772132
2019-12-20,270611
2019-12-21,7930
2019-12-22,6216
2019-12-23,178724
2019-12-24,63352
2019-12-25,4558
2019-12-26,4746
2019-12-27,49138
2019-12-28,3620
2019-12-29,8142
2019-12-30,73925
2019-12-31,35225
2020-01-01,5887
2020-01-02,381399
2020-01-03,247814
2020-01-04,1322
2020-01-05,4863
2020-01-06,1058650
2020-01-07,1302361
2020-01-08,1298809
2020-01-09,1099915
2020-01-10,543918
2020-01-11,2305
2020-01-12,1295
2020-01-13,1154417
2020-01-14,1158685
2020-01-15,1228497
2020-01-16,1231984
2020-01-17,535311
2020-01-18,14647
2020-01-19,10089
2020-01-20,1074481
2020-01-21,1273189
2020-01-22,1280001
2020-01-30,947873
2020-02-01,10184
2020-02-02,6139
2020-02-03,951342
2020-02-04,1135838
2020-02-07,510462
2020-02-08,2609
2020-02-09,3505
2020-02-10,856465
2020-02-11,836628
2020-02-12,1038010
2020-02-13,890358
2020-02-14,391150
2020-02-15,11894
2020-02-16,9341
2020-02-17,929604
2020-02-18,1008359
2020-02-19,958715
2020-02-20,949366
2020-02-21,473783
2020-02-22,5328
2020-02-23,7137
2020-02-24,1025329
2020-02-25,1273328
2020-02-26,1427448
2020-02-27,1313065
2020-02-28,546132
2020-02-29,13697
2020-03-01,10751
2020-03-02,1366687
2020-03-03,1300405
2020-03-04,1013693
2020-03-05,890469
2020-03-06,371336
2020-03-07,4331
2020-03-08,3208
2020-03-09,817854
2020-03-10,918391
2020-03-11,925634
2020-03-12,1204002
2020-03-13,371280
2020-03-14,5508
2020-03-15,3597
2020-03-16,738326
2020-03-17,67150
2020-03-18,76237
2020-03-19,56752
2020-03-20,62870
2020-03-21,7485
2020-03-22,7656
2020-03-23,49798
2020-03-24,21424
2020-03-25,22288
2020-03-26,19869
2020-03-27,28465
2020-03-28,2780
2020-03-29,2329
2020-03-30,17048
2020-03-31,13914
2020-04-01,16946
2020-04-02,16636
2020-04-03,9661
2020-04-04,5710
2020-04-05,3592
2020-04-06,11468
2020-04-07,27146
2020-04-08,37155
2020-04-09,12052
2020-04-10,2666
2020-04-11,3000
2020-04-12,5041
2020-04-13,1931
2020-04-14,16129
2020-04-15,18312
2020-04-16,19261
2020-04-17,14779
2020-04-18,3478
2020-04-19,4529
2020-04-20,16873
2020-04-21,30605
2020-04-22,18623
2020-04-23,28511
2020-04-24,12742
2020-04-25,1477
2020-04-26,3042
2020-04-27,23581
2020-04-28,19265
2020-04-29,41033
2020-04-30,18795
2020-05-01,15857
2020-05-02,3026
2020-05-03,3461
2020-05-04,21762
2020-05-05,21029
2020-05-06,16178
2020-05-07,18210
2020-05-08,3322
2020-05-09,3720
2020-05-10,3476
2020-05-11,27735
2020-05-12,33831
2020-05-13,26441
2020-05-14,22886
2020-05-15,24804
2020-05-16,2605
2020-05-17,985
2020-05-18,11054
2020-05-19,16458
2020-05-20,28986
2020-05-21,18108
2020-05-22,11551
2020-05-23,3872
