date,location,count
2019-08-12,1st Floor,1721
2019-08-13,1st Floor,321436
2019-08-14,1st Floor,240043
2019-08-15,1st Floor,173298
2019-08-16,1st Floor,137361
2019-08-17,1st Floor,1952
2019-08-18,1st Floor,328
2019-08-19,1st Floor,240751
2019-08-20,1st Floor,238854
2019-08-21,1st Floor,214887
2019-08-22,1st Floor,194936
2019-08-23,1st Floor,93792
2019-08-24,1st Floor,307
2019-08-25,1st Floor,398
2019-08-26,1st Floor,9
2019-08-27,1st Floor,265278
2019-08-28,1st Floor,313424
2019-08-29,1st Floor,246786
2019-08-30,1st Floor,74541
2019-08-31,1st Floor,2788
2019-09-01,1st Floor,678
2019-09-02,1st Floor,227923
2019-09-03,1st Floor,289677
2019-09-04,1st Floor,338196
2019-09-05,1st Floor,311837
2019-09-06,1st Floor,126432
2019-09-07,1st Floor,868
2019-09-08,1st Floor,207
2019-09-09,1st Floor,305489
2019-09-10,1st Floor,278199
2019-09-11,1st Floor,343638
2019-09-12,1st Floor,287100
2019-09-13,1st Floor,139569
2019-09-14,1st Floor,2471
2019-09-15,1st Floor,2393
2019-09-16,1st Floor,245252
2019-09-17,1st Floor,346803
2019-09-18,1st Floor,299742
2019-09-19,1st Floor,255173
2019-09-20,1st Floor,69549
2019-09-21,1st Floor,9516
2019-09-22,1st Floor,1468
2019-09-23,1st Floor,120959
2019-09-24,1st Floor,43299
2019-09-25,1st Floor,133204
2019-09-26,1st Floor,156052
2019-09-27,1st Floor,166527
2019-09-28,1st Floor,1632
2019-09-29,1st Floor,334
2019-09-30,1st Floor,261269
2019-10-01,1st Floor,338221
2019-10-02,1st Floor,260955
2019-10-03,1st Floor,250092
2019-10-04,1st Floor,104194
2019-10-05,1st Floor,2491
2019-10-06,1st Floor,2672
2019-10-07,1st Floor,239438
2019-10-08,1st Floor,305608
2019-10-09,1st Floor,352275
2019-10-10,1st Floor,306039
2019-10-11,1st Floor,85918
2019-10-12,1st Floor,287
2019-10-13,1st Floor,649
2019-10-14,1st Floor,313947
2019-10-15,1st Floor,439614
2019-10-16,1st Floor,673482
2019-10-17,1st Floor,471740
2019-10-18,1st Floor,198912
2019-10-19,1st Floor,9360
2019-10-20,1st Floor,1660
2019-10-21,1st Floor,610612
2019-10-22,1st Floor,706920
2019-10-23,1st Floor,631250
2019-10-24,1st Floor,502489
2019-10-25,1st Floor,127247
2019-10-26,1st Floor,1507
2019-10-27,1st Floor,476
2019-10-28,1st Floor,224870
2019-10-29,1st Floor,324547
2019-10-30,1st Floor,297231
2019-10-31,1st Floor,307129
2019-11-01,1st Floor,111148
2019-11-02,1st Floor,3105
2019-11-03,1st Floor,547
2019-11-04,1st Floor,288569
2019-11-05,1st Floor,317858
2019-11-06,1st Floor,318423
2019-11-07,1st Floor,330939
2019-11-08,1st Floor,191337
2019-11-09,1st Floor,2033
2019-11-10,1st Floor,386
2019-11-11,1st Floor,359607
2019-11-12,1st Floor,281113
2019-11-13,1st Floor,472
2019-11-28,1st Floor,310322
2019-11-29,1st Floor,74711
2019-11-30,1st Floor,252
2019-12-01,1st Floor,150
2019-12-02,1st Floor,370250
2019-12-03,1st Floor,425793
2019-12-04,1st Floor,172048
2019-12-05,1st Floor,234138
2019-12-06,1st Floor,111619
2019-12-07,1st Floor,1872
2019-12-08,1st Floor,136
2019-12-09,1st Floor,268760
2019-12-10,1st Floor,259780
2019-12-11,1st Floor,254054
2019-12-12,1st Floor,343275
2019-12-13,1st Floor,192555
2019-12-14,1st Floor,660
2019-12-15,1st Floor,91
2019-12-16,1st Floor,246326
2019-12-17,1st Floor,258871
2019-12-18,1st Floor,323004
2019-12-19,1st Floor,228786
2019-12-20,1st Floor,79386
2019-12-21,1st Floor,1064
2019-12-22,1st Floor,1351
2019-12-23,1st Floor,26812
2019-12-24,1st Floor,18417
2019-12-25,1st Floor,2051
2019-12-26,1st Floor,2211
2019-12-27,1st Floor,3177
2019-12-28,1st Floor,2309
2019-12-29,1st Floor,1953
2019-12-30,1st Floor,2440
2019-12-31,1st Floor,2176
2020-01-01,1st Floor,1889
2020-01-02,1st Floor,118748
2020-01-03,1st Floor,40868
2020-01-04,1st Floor,841
2020-01-05,1st Floor,850
2020-01-06,1st Floor,313314
2020-01-07,1st Floor,412726
2020-01-08,1st Floor,441146
2020-01-09,1st Floor,347980
2020-01-10,1st Floor,140843
2020-01-11,1st Floor,355
2020-01-12,1st Floor,526
2020-01-13,1st Floor,392705
2020-01-14,1st Floor,389032
2020-01-15,1st Floor,434062
2020-01-16,1st Floor,441129
2020-01-17,1st Floor,148279
2020-01-18,1st Floor,1976
2020-01-19,1st Floor,2551
2020-01-20,1st Floor,403026
2020-01-21,1st Floor,426394
2020-01-22,1st Floor,426184
2020-01-30,1st Floor,223750
